epoch,train_loss,val_loss,val_acc,val_f1_macro,val_prod_mape,lr,time_s
1,2.0370,2.1388,.758,.740,17.73,.067644,42
2,1.9758,2.0745,.765,.750,17.45,.061255,44
3,1.9165,2.0123,.773,.757,17.07,.055473,48
4,1.8590,1.9519,.780,.769,16.80,.050242,49
5,1.8032,1.8933,.787,.772,16.61,.045508,48
6,1.7491,1.8365,.793,.777,16.24,.041225,44
7,1.6966,1.7814,.799,.785,16.05,.037349,42
8,1.6457,1.7279,.805,.788,15.87,.033843,48
9,1.5963,1.6761,.811,.799,15.59,.030670,44
10,1.5484,1.6258,.817,.803,15.31,.027799,48
11,1.5019,1.5769,.822,.811,15.12,.025201,49
12,1.4568,1.5296,.827,.817,14.94,.022850,44
13,1.4130,1.4836,.832,.815,14.75,.020723,48
14,1.3706,1.4391,.837,.819,14.56,.018799,48
15,1.3294,1.3958,.842,.825,14.28,.017057,44
16,1.2895,1.3539,.846,.831,14.10,.015482,47
17,1.2508,1.3133,.850,.839,14.01,.014056,42
18,1.2132,1.2738,.854,.836,13.73,.012766,43
19,1.1768,1.2356,.858,.848,13.63,.011598,42
20,1.1414,1.1984,.862,.850,13.45,.010542,46
21,1.1071,1.1624,.866,.849,13.26,.009587,42
22,1.0738,1.1274,.869,.856,13.17,.008722,48
23,1.0415,1.0935,.872,.861,12.98,.007939,47
24,1.0102,1.0607,.876,.863,12.80,.007231,42
25,.9798,1.0287,.879,.861,12.70,.006591,43
26,.9504,.9979,.881,.866,12.61,.006011,44
27,.9218,.9678,.884,.870,12.42,.005487,42
28,.8941,.9388,.887,.871,12.33,.005012,45
29,.8672,.9105,.890,.877,12.24,.004583,42
30,.8411,.8831,.892,.882,12.05,.004194,45
31,.8158,.8565,.895,.877,11.96,.003842,45
32,.7913,.8308,.897,.881,11.87,.003524,45
33,.7675,.8058,.899,.886,11.77,.003236,49
34,.7444,.7816,.901,.887,11.68,.002976,46
35,.7220,.7581,.903,.890,11.59,.002740,45
36,.7003,.7353,.905,.893,11.49,.002527,44
37,.6792,.7131,.907,.894,11.40,.002334,46
38,.6588,.6917,.909,.898,11.31,.002160,49
39,.6390,.6709,.911,.895,11.22,.002002,49
40,.6198,.6507,.912,.896,11.12,.001859,42
41,.6012,.6312,.914,.901,11.03,.001729,45
42,.5831,.6122,.916,.902,10.94,.001612,43
43,.5656,.5938,.917,.904,10.84,.001506,46
44,.5486,.5760,.918,.901,10.84,.001411,43
45,.5321,.5587,.920,.903,10.75,.001324,44
46,.5161,.5419,.921,.908,10.66,.001245,45
47,.5006,.5256,.922,.908,10.66,.001174,47
48,.4855,.5097,.924,.911,10.56,.001110,49
49,.4709,.4944,.925,.913,10.47,.001052,46
50,.4567,.4795,.926,.911,10.47,.001000,43
51,.4429,.4650,.927,.917,10.38,.000952,45
52,.4296,.4510,.928,.917,10.29,.000909,46
53,.4167,.4375,.929,.916,10.29,.000870,47
54,.4041,.4243,.930,.912,10.19,.000835,49
55,.3919,.4114,.931,.917,10.19,.000803,42
56,.3801,.3991,.932,.922,10.10,.000774,48
57,.3686,.3870,.933,.915,10.01,.000748,47
58,.3575,.3753,.934,.920,10.01,.000724,47
59,.3467,.3640,.934,.918,10.01,.000703,45
60,.3362,.3530,.935,.925,9.91,.000683,49
61,.3261,.3424,.936,.926,9.91,.000666,46
62,.3163,.3321,.937,.922,9.82,.000650,45
63,.3068,.3221,.937,.920,9.82,.000636,46
64,.2975,.3123,.938,.926,9.73,.000623,46
65,.2885,.3029,.938,.924,9.73,.000611,44
66,.2798,.2937,.939,.922,9.73,.000600,46
67,.2714,.2849,.940,.925,9.63,.000591,46
68,.2632,.2763,.940,.929,9.63,.000582,48
69,.2553,.2680,.941,.923,9.63,.000574,49
70,.2476,.2599,.941,.923,9.54,.000567,47
71,.2401,.2521,.942,.929,9.54,.000561,45
72,.2328,.2444,.942,.927,9.54,.000555,43
73,.2258,.2370,.943,.928,9.45,.000550,45
74,.2190,.2299,.943,.927,9.45,.000545,46
75,.2124,.2230,.944,.927,9.45,.000541,46
76,.2060,.2163,.944,.934,9.36,.000537,42
77,.1998,.2097,.944,.931,9.36,.000533,42
78,.1938,.2034,.945,.928,9.36,.000530,46
79,.1879,.1972,.945,.928,9.36,.000527,48
80,.1822,.1913,.945,.929,9.26,.000524,49
81,.1767,.1855,.946,.935,9.26,.000522,42
82,.1713,.1798,.946,.935,9.26,.000520,49
83,.1661,.1744,.946,.933,9.26,.000518,46
84,.1611,.1691,.947,.936,9.26,.000516,48
85,.1562,.1640,.947,.933,9.17,.000515,49
86,.1515,.1590,.947,.929,9.17,.000513,45
87,.1469,.1542,.947,.936,9.17,.000512,42
88,.1424,.1495,.948,.936,9.17,.000511,47
89,.1381,.1450,.948,.931,9.17,.000510,45
90,.1339,.1405,.948,.931,9.08,.000509,45
91,.1298,.1362,.948,.930,9.08,.000508,43
92,.1259,.1321,.948,.931,9.08,.000507,46
93,.1221,.1282,.949,.933,9.08,.000506,46
94,.1184,.1243,.949,.931,9.08,.000506,44
95,.1148,.1205,.949,.937,9.08,.000505,47
96,.1113,.1168,.949,.939,9.08,.000505,45
97,.1079,.1132,.949,.932,8.98,.000504,49
98,.1046,.1098,.950,.934,8.98,.000504,43
99,.1014,.1064,.950,.936,8.98,.000503,47
100,.0983,.1032,.950,.932,8.98,.000503,42
