sol_id,fuel_total_L,avg_cycle_min,utilization_pct,schedule_adh_pct,cv_sum,rank,crowding
1,3363,34.5,74.3,97.5,0.0,1,.9904
2,4613,36.7,82.5,94.6,0.0,7,.0830
3,4740,39.7,78.5,93.3,0.0,1,.3368
4,4727,22.1,59.3,99.4,0.0,18,.0102
5,4072,37.4,74.2,97.0,0.0,20,.9635
6,3794,23.2,81.4,94.3,0.0,1,.7176
7,4125,36.9,68.9,92.1,0.0,10,.1318
8,3646,31.0,73.6,98.7,0.0,2,.6084
9,4267,29.0,84.0,98.7,0.0,1,.4096
10,4492,22.1,60.8,92.2,0.0,10,.9835
11,4976,27.0,61.4,94.2,0.0,3,.4398
12,4420,33.2,76.0,98.7,0.0,20,.8930
13,4667,20.9,60.1,96.2,0.0,8,.3086
14,4615,39.1,55.3,97.1,0.0,7,.8991
15,3640,33.2,80.1,93.5,0.0,6,.0524
16,4540,34.1,71.7,92.8,0.0,13,.3792
17,4790,24.4,67.4,90.0,0.0,12,.0249
18,4915,38.1,68.0,97.2,0.0,14,.6347
19,3848,31.2,76.7,99.2,0.0,14,.4879
20,3673,23.5,67.3,97.1,0.0,3,.7600
21,3766,37.0,64.4,97.6,0.0,10,.1422
22,3803,28.8,78.5,96.1,0.0,17,.8692
23,4417,38.1,55.6,96.5,0.0,16,.2928
24,4456,24.8,80.3,90.7,0.0,17,.3577
25,4174,27.1,68.4,94.7,0.0,8,.9691
26,4421,21.6,81.3,97.8,0.0,19,.4745
27,3491,24.0,78.6,95.0,0.0,8,.2266
28,3997,36.5,76.9,94.9,0.0,20,.3861
29,4615,33.2,64.4,97.6,0.0,9,.2916
30,3998,23.9,65.9,97.4,0.0,6,.9545
31,3669,31.3,79.8,95.6,0.0,11,.0284
32,4757,22.5,69.7,98.9,0.0,3,.2389
33,4816,39.3,68.9,93.1,0.0,10,.3465
34,3378,28.9,79.2,96.9,0.0,1,.8012
35,4285,28.2,69.4,96.1,0.0,11,.6247
36,3808,26.5,79.1,92.7,0.0,17,.8599
37,4147,20.0,77.9,90.2,0.0,10,.0445
38,3413,25.5,73.6,98.0,0.0,18,.2857
39,3861,21.6,67.1,93.8,0.0,2,.0950
40,3346,37.8,68.6,93.3,0.0,6,.3108
41,3526,38.0,68.9,98.0,0.0,20,.9474
42,3413,21.5,55.8,91.9,0.0,8,.8714
