sol_id,fuel_L,cycle_min,util_pct,sched_pct,a_EXC01,a_EXC02,a_DMP01,a_DMP02,a_BDZ01,a_CMP01,selected
1,2830,182.6,81.5,96.8,9,5,4,2,8,5,0
2,2860,184.2,81.0,96.6,2,3,7,12,3,4,0
3,2890,186.3,80.5,96.4,10,2,11,7,12,5,0
4,2920,188.6,80.0,96.2,2,4,6,10,4,5,0
5,2950,190.3,79.5,96.0,9,1,8,6,7,4,0
6,2980,192.2,79.0,95.8,8,1,11,5,3,2,0
7,3010,194.7,78.5,95.6,6,6,8,12,12,4,0
8,3040,196.5,78.0,95.4,5,7,6,7,6,1,0
9,3070,198.5,77.5,95.2,10,9,1,11,7,4,0
10,3100,200.7,77.0,95.0,4,3,7,6,9,9,0
11,3130,202.4,76.5,94.8,11,9,11,11,2,5,0
12,3160,204.2,76.0,94.6,6,8,1,1,1,9,0
13,3190,206.6,75.5,94.4,2,1,6,3,7,11,0
14,3220,208.0,75.0,94.2,2,6,1,9,11,8,0
15,3250,210.4,74.5,94.0,9,6,3,7,12,12,0
16,3280,212.2,74.0,93.8,9,7,1,11,9,8,0
17,3310,214.0,73.5,93.6,5,5,7,10,9,8,0
18,3340,216.8,73.0,93.4,8,2,6,11,7,3,1
19,3370,218.0,72.5,93.2,2,4,10,9,7,3,0
20,3400,220.8,72.0,93.0,8,6,8,3,4,12,0
21,3430,222.2,71.5,92.8,9,1,6,7,3,1,0
22,3460,224.7,71.0,92.6,11,11,6,3,10,10,0
23,3490,226.3,70.5,92.4,1,8,9,4,4,8,0
24,3520,228.6,70.0,92.2,7,1,5,11,5,2,0
25,3550,230.2,69.5,92.0,9,8,9,10,4,6,0
26,3580,232.2,69.0,91.8,11,1,9,6,3,8,0
27,3610,234.8,68.5,91.6,4,3,11,10,7,4,0
28,3640,236.3,68.0,91.4,5,2,9,1,6,4,0
29,3670,238.4,67.5,91.2,11,8,5,2,12,12,0
30,3700,240.6,67.0,91.0,4,7,9,8,9,11,0
31,3730,242.3,66.5,90.8,4,9,8,6,8,5,0
32,3760,244.5,66.0,90.6,4,6,12,12,2,10,0
33,3790,246.2,65.5,90.4,6,2,12,9,5,4,0
34,3820,248.7,65.0,90.2,6,9,11,7,7,6,0
35,3850,250.6,64.5,90.0,1,1,8,4,12,11,0
