equipment_id,zone_assigned,dispatch_time,est_arrival,priority,fuel_budget_L
EXC01,8,08:16,07:17,1,84
EXC02,6,09:21,10:12,3,110
EXC03,4,09:53,10:24,2,77
EXC04,11,08:00,08:26,3,71
EXC05,9,08:47,09:54,2,70
EXC06,10,06:19,07:47,2,106
EXC07,7,07:38,07:02,1,89
EXC08,11,06:23,09:12,3,62
DMP01,12,06:54,09:28,2,97
DMP02,8,09:27,10:57,2,80
DMP03,10,06:22,08:52,2,67
DMP04,11,08:20,10:25,1,59
DMP05,12,06:02,10:58,2,114
DMP06,7,07:06,06:09,2,55
DMP07,3,08:36,10:43,1,46
DMP08,1,08:45,09:36,2,70
DMP09,2,09:06,10:06,3,118
DMP10,11,09:37,10:41,1,82
DMP11,9,06:16,07:10,1,91
DMP12,7,07:40,09:58,1,112
DMP13,10,09:56,09:36,1,57
DMP14,6,06:47,08:31,3,111
BDZ01,11,06:07,10:10,3,85
BDZ02,3,07:16,10:29,1,55
BDZ03,3,08:19,07:25,2,112
BDZ04,11,08:21,06:29,2,42
BDZ05,7,06:02,09:24,1,69
BDZ06,10,08:32,10:04,1,68
CMP01,11,08:21,06:52,3,83
CMP02,6,06:58,08:12,1,44
CMP03,11,08:20,06:17,3,48
CMP04,8,06:31,06:50,2,64
