ts,bim_x,bim_y,bim_z,speed,imu_ax_mean,imu_ay_mean,imu_az_mean,imu_ax_std,imu_ay_std,imu_az_std,imu_gx_mean,imu_gy_mean,imu_gz_mean,imu_gx_std,imu_gy_std,imu_gz_std,fuel_lph,rpm,hyd_bar
1710489601,38.90,58.30,341,7.20,.5534,.0025,9.8528,.0825,.0609,.0630,.0590,-.0186,-.0790,.0687,.0516,.0007,25.7,1707,227
1710489602,53.00,20.80,345,4.10,-.9074,.1920,9.8263,.0617,.0538,.0893,.0489,-.0435,-.0341,.0408,.0971,.0648,8.9,1083,205
1710489603,30.70,77.70,289,7.50,-.9025,-.0982,9.8291,.0112,.0807,.0418,.0400,.0931,.0125,.0976,.0387,.0188,15.4,1881,126
1710489604,78.50,76.20,366,4.20,-.8278,-.0497,9.8431,.0693,.0216,.0079,.0965,.0220,-.0765,.0187,.0073,.0207,23.7,1942,296
1710489605,60.60,14.80,332,8.90,-.2014,.9873,9.8181,.0625,.0040,.0678,.0316,.0972,.0550,.0140,.0605,.0961,23.6,810,142
1710489606,99.60,76.80,338,4.60,.6727,-.4821,9.8478,.0207,.0187,.0346,.0458,-.0205,.0881,.0667,.0569,.0764,10.5,2014,188
1710489607,1.00,11.80,362,0,.5292,.2369,9.8158,.0122,.0708,.0625,.0318,.0731,.0683,.0262,.0900,.0777,18.4,2153,191
1710489608,99.70,3.20,381,2.60,-.5512,.5395,9.8015,.0746,.0902,.0795,.0482,.0091,.0782,.0816,.0487,.0309,33.5,828,252
1710489609,13.00,17.70,396,6.10,-.2157,-.5451,9.8585,.0317,.0297,.0303,.0719,-.0480,-.0266,.0987,.0427,.0049,32.8,867,132
1710489610,32.10,5.70,338,10.00,-.8754,.9044,9.8562,.0167,.0877,.0601,-.0111,-.0787,-.0117,.0862,.0430,.0010,30.1,1680,137
1710489611,48.20,50.70,377,5.20,.5456,.9145,9.8175,.0583,.0762,.0940,.0106,.0429,-.0408,.0304,.0576,.0778,22.1,1012,226
1710489612,55.50,11.90,305,6.80,-.6009,-.2489,9.8563,.0265,.0480,.0903,-.0759,-.0777,-.0884,.0072,.0502,.0304,20.4,1232,135
1710489613,15.90,59.00,377,6.40,.0339,-.9252,9.8516,.0919,.0596,.0870,.0809,.0351,.0303,.0448,.0489,.0970,26.4,1645,299
1710489614,76.40,59.00,339,8.30,.4396,.7644,9.7935,.0316,.0579,.0986,.0782,-.0520,.0628,.0665,.0820,.0366,34.5,1416,153
1710489615,79.90,63.20,286,3.70,-.6746,.8944,9.7948,.0272,.0020,.0411,-.0402,-.0783,.0785,.0464,.0619,.0635,18.3,899,266
1710489616,40.60,16.70,369,8.20,.2534,-.6630,9.8099,.0584,.0328,.0499,-.0243,-.0393,.0277,.0109,.0852,.0069,9.6,1842,152
1710489617,83.00,52.30,305,1.60,-.0286,-.5415,9.8109,.0897,.0833,.0542,-.0843,-.0838,.0410,.0598,.0582,.0750,24.1,1025,264
1710489618,22.30,2.80,304,4.40,.3735,.4398,9.8732,.0866,.0336,.0323,-.0493,-.0068,-.0887,.0743,.0068,.0810,12.0,1314,292
1710489619,76.20,17.40,296,5.40,.5136,.1071,9.8570,.0138,.0396,.0658,-.0084,-.0845,-.0812,.0149,.0899,.0527,39.5,1158,137
1710489620,69.90,75.50,345,5.60,-.5036,-.6416,9.8292,.0735,.0112,.0783,.0668,-.0152,-.0762,.0861,.0722,.0609,29.3,1824,172
1710489621,8.10,59.20,327,7.60,-.0159,.4384,9.8738,.0320,.0821,.0402,.0219,.0040,-.0573,.0925,.0185,.0099,36.3,2173,150
1710489622,59.10,10.00,390,.60,.7415,-.4025,9.8722,.0688,.0699,.0976,-.0919,-.0488,.0970,.0102,.0199,.0085,12.3,1755,229
1710489623,67.00,73.60,298,11.50,-.7689,.6738,9.8763,.0329,.0368,.0073,-.0983,.0780,.0623,.0259,.0485,.0815,7.6,879,191
1710489624,9.40,15.10,386,2.90,-.0338,-.2028,9.8769,.0312,.0785,.0505,.0515,-.0835,.0129,.0896,.0624,.0847,37.8,1646,216
1710489625,1.00,78.90,342,.20,-.0476,-.0380,9.8018,.0953,.0034,.0350,-.0282,.0163,-.0443,.0721,.0736,.0268,38.4,1041,193
1710489626,60.10,62.40,384,1.90,.0229,.4276,9.8262,.0477,.0669,.0850,-.0762,-.0323,.0239,.0408,.0532,.0290,23.1,1084,133
1710489627,70.20,67.40,293,.30,-.7750,-.4594,9.7805,.0912,.0785,.0364,-.0922,.0651,.0355,.0618,.0463,.0685,13.9,1964,144
1710489628,77.80,16.20,339,9.90,.4523,-.3916,9.8320,.0534,.0582,.0802,.0065,.0357,.0719,.0155,.0720,.0101,6.6,1052,214
1710489629,45.70,27.90,383,11.70,-.9907,.0421,9.8221,.0499,.0755,.0122,.0033,-.0123,-.0040,.0155,.0605,.0405,11.0,1852,248
1710489630,34.30,68.30,324,9.20,-.5780,.5933,9.8384,.0270,.0533,.0340,.0106,-.0615,-.0313,.0763,.0015,.0515,15.0,1065,128
1710489631,50.00,53.90,335,6.30,.2503,.5031,9.8711,.0821,.0269,.0604,-.0484,.0587,.0794,.0200,.0583,.0796,10.8,1143,182
1710489632,29.30,62.70,338,11.50,-.6549,-.8973,9.8678,.0164,.0173,.0225,-.0275,-.0986,.0956,.0176,.0791,.0640,34.2,1611,179
1710489633,90.60,64.90,328,2.40,.3470,-.9350,9.8355,.0632,.0180,.0234,.0305,-.0266,.0705,.0616,.0612,.0811,28.0,1650,138
1710489634,16.90,26.20,313,5.90,.7833,-.5203,9.8597,.0704,.0909,.0928,-.0554,.0578,.0471,.0197,.0757,.0581,19.5,1588,273
1710489635,25.70,77.80,333,5.70,.8039,.2804,9.8570,.0827,.0599,.0719,-.0891,.0425,.0634,.0163,.0957,.0616,36.5,1637,227
1710489636,49.50,36.50,333,11.20,-.9721,.8260,9.8346,.0704,.0908,.0367,-.0559,-.0006,.0145,.0556,.0458,.0915,30.6,917,145
1710489637,20.70,43.20,342,3.20,-.1818,.2803,9.7965,.0182,.0828,.0890,.0630,-.0593,-.0530,.0686,.0347,.0730,9.7,1940,187
1710489638,9.00,59.60,359,2.20,-.2065,-.2298,9.8455,.0109,.0826,.0573,.0880,.0497,.0334,.0298,.0769,.0280,34.1,1897,267
