ts,bim_x,bim_y,bim_z,speed,imu_ax_mean,imu_ay_mean,imu_az_mean,imu_ax_std,imu_ay_std,imu_az_std,imu_gx_mean,imu_gy_mean,imu_gz_mean,imu_gx_std,imu_gy_std,imu_gz_std,fuel_lph,rpm,hyd_bar
1710489601,58.20,26.70,331,2.90,.1414,-.6620,9.7843,.0917,.0215,.0625,.0139,-.0569,.0865,.0484,.0186,.0433,15.9,965,158
1710489602,3.10,71.40,400,5.20,.0735,-.6491,9.7979,.0916,.0571,.0489,-.0093,.0182,.0936,.0233,.0955,.0263,18.2,1293,140
1710489603,76.90,49.50,295,1.00,.8822,-.4896,9.8115,.0495,.0754,.0954,.0813,.0852,-.0340,.0548,.0605,.0959,28.2,1009,285
1710489604,59.20,60.70,353,6.70,-.2691,.9271,9.8690,.0193,.0900,.0515,-.0332,-.0164,.0976,.0385,.0368,.0869,24.9,1464,298
1710489605,29.40,78.30,373,4.80,-.8521,-.4660,9.8168,.0151,.0368,0,.0319,.0098,-.0790,.0199,.0191,.0323,16.7,1934,135
1710489606,5.30,32.60,367,11.40,-.4718,-.3661,9.8187,.0826,.0374,.0926,.0359,-.0591,-.0377,.0227,.0224,.0392,7.7,879,216
1710489607,94.70,46.70,302,11.80,-.9390,-.5064,9.8381,.0422,.0477,.0179,-.0129,.0163,.0262,.0563,.0822,.0689,9.7,1477,146
1710489608,22.90,76.20,373,6.50,.2875,.5571,9.8739,.0244,.0092,.0018,-.0591,-.0164,.0194,.0386,.0386,.0584,29.4,1717,297
1710489609,19.60,26.80,384,6.40,.4521,-.0361,9.8272,.0503,.0407,.0275,-.0347,-.0390,.0156,.0553,.0942,.0979,13.3,1936,186
1710489610,4.40,72.50,379,1.20,-.9230,-.1397,9.8722,.0340,.0285,.0829,.0326,-.0983,.0948,.0487,.0704,.0158,13.0,1648,260
1710489611,49.40,62.90,320,6.30,-.3594,.6753,9.8720,.0632,.0144,.0309,.0588,.0515,.0637,.0331,.0715,.0263,10.2,1317,181
1710489612,88.30,58.70,379,9.70,.4214,-.0152,9.8656,.0492,.0221,.0571,-.0279,-.0711,.0234,.0244,.0217,.0995,18.1,1456,266
1710489613,97.20,2.00,316,6.60,-.0402,.0969,9.8113,.0690,.0945,.0993,-.0049,.0314,.0481,.0014,.0688,.0149,33.7,1840,255
1710489614,94.70,22.60,333,8.40,-.5656,.6313,9.8533,.0372,.0169,.0460,.0383,.0480,-.0941,.0808,.0120,.0117,5.2,1017,237
1710489615,63.90,73.90,318,1.10,.4821,.3361,9.8465,.0952,.0046,.0445,.0495,.0763,.0440,.0654,.0362,.0600,32.8,1806,174
1710489616,51.90,68.00,381,5.40,.4871,.1242,9.8633,.0881,.0125,.0048,-.0708,-.0246,.0201,.0653,.0142,.0589,32.0,1086,201
1710489617,39.40,72.00,312,10.00,.9155,.4394,9.8651,.0571,.0022,.0066,-.0717,-.0972,-.0709,.0344,.0801,.0609,10.6,941,244
1710489618,65.70,48.80,399,.30,.8695,.1831,9.8520,.0216,.0321,.0545,.0249,.0356,.0677,.0629,.0144,.0101,8.5,2180,120
1710489619,35.50,63.40,347,8.90,-.7105,-.0967,9.8084,.0296,.0689,.0745,-.0119,-.0532,.0205,0,.0155,.0076,33.2,1036,243
1710489620,7.00,61.50,337,9.10,-.6398,-.6131,9.8701,.0956,.0700,.0947,.0815,-.0213,-.0980,.0945,.0083,.0266,38.6,1247,159
1710489621,43.00,12.30,318,8.30,.7486,.3153,9.8477,.0077,.0826,.0147,-.0020,.0576,.0112,.0771,.0311,.0475,26.6,938,260
1710489622,92.30,13.10,310,5.60,-.6624,.3439,9.8768,.0815,.0347,.0671,-.0245,.0076,.0271,.0104,.0791,.0893,28.0,2134,286
1710489623,79.80,30.10,345,2.20,-.2098,.7153,9.8776,.0829,.0866,.0312,-.0417,-.0831,-.0480,.0452,.0258,.0426,5.0,1038,240
1710489624,91.00,74.50,306,1.80,-.1318,.3880,9.8335,.0599,.0460,.0532,.0276,.0846,-.0887,.0905,.0895,.0085,23.1,1113,161
1710489625,34.10,4.60,398,3.60,-.0202,-.1628,9.8756,.0380,.0165,.0038,-.0031,.0457,.0319,.0814,.0993,.0638,30.3,1712,194
1710489626,49.60,53.00,355,11.20,-.5885,.7658,9.8480,.0205,.0833,.0571,-.0285,.0677,-.0692,.0278,.0489,.0671,34.9,1956,179
1710489627,15.10,71.90,369,.20,-.0315,.2716,9.7836,.0296,.0850,.0834,.0787,.0278,.0132,.0706,.0657,.0996,13.1,1674,250
1710489628,69.60,3.50,310,6.50,-.9797,.0260,9.8466,.0946,.0946,.0205,.0366,-.0573,.0679,.0044,.0773,.0327,39.7,866,239
1710489629,56.20,39.90,306,4.70,-.1489,-.6669,9.8494,.0228,.0073,.0342,-.0109,-.0204,-.0100,.0408,.0591,.0824,9.4,904,221
1710489630,57.90,75.00,311,3.40,.5667,-.9268,9.8588,.0811,.0634,.0961,-.0878,-.0728,-.0300,.0635,.0217,.0911,18.1,1427,206
1710489631,81.20,25.50,298,11.30,-.0304,.5458,9.8163,.0229,.0598,.0706,-.0611,-.0128,.0188,.0812,.0841,.0837,25.4,1125,152
1710489632,88.10,39.30,304,4.50,.9940,-.1911,9.8598,.0890,.0543,.0864,-.0543,-.0475,.0908,.0418,.0494,.0395,10.5,1693,121
1710489633,82.20,53.20,399,4.30,.0401,-.0125,9.8238,.0290,.0400,.0262,-.0770,-.0450,-.0955,.0534,.0768,.0070,7.1,2042,184
1710489634,23.30,20.20,385,10.40,-.7731,.3187,9.7920,.0980,.0146,.0222,.0281,-.0298,.0503,.0350,.0031,.0528,16.9,1771,143
1710489635,72.40,67.60,391,4.90,-.9111,.8401,9.8197,.0106,.0859,.0873,.0249,-.0593,-.0493,.0372,.0513,.0644,27.9,924,206
1710489636,27.90,68.00,384,3.80,-.2623,-.2665,9.8504,.0563,.0389,.0082,-.0071,-.0048,.0706,.0884,.0640,.0998,20.0,1352,211
1710489637,17.10,54.90,309,5.00,-.4489,.1832,9.8386,.0436,.0075,.0631,-.0292,.0388,-.0156,.0982,.0437,.0223,26.9,1607,280
1710489638,94.10,44.30,374,4.60,-.3742,.2426,9.8474,.0166,.0971,.0636,-.0946,.0432,.0719,.0774,.0870,.0447,16.8,1449,165
1710489639,89.70,3.30,338,4.10,-.2942,.0154,9.8183,.0958,.0759,.0941,.0015,-.0131,.0361,.0569,.0366,.0316,24.1,1570,226
1710489640,56.10,.70,289,5.60,-.9130,-.4864,9.8725,.0854,.0391,.0600,-.0149,.0766,.0388,.0330,.0820,.0265,6.2,1584,198
1710489641,51.00,49.00,382,3.50,-.8771,-.5783,9.8152,.0059,.0138,.0616,-.0782,-.0143,-.0126,.0714,.0927,.0299,32.5,866,221
1710489642,77.70,2.80,285,6.00,-.6709,-.2927,9.8590,.0489,.0336,.0057,-.0753,-.0212,.0894,.0934,.0674,.0482,34.4,1746,229
1710489643,21.30,12.30,397,9.30,.0423,.8939,9.8457,.0273,.0774,.0988,-.0815,.0389,-.0223,.0793,.0524,.0940,9.6,1082,267
1710489644,53.20,21.90,320,7.40,.3097,-.4745,9.7925,.0027,.0323,.0879,.0364,-.0532,-.0336,.0187,.0575,.0816,9.1,2104,245
1710489645,95.60,34.90,380,.50,.4899,-.2899,9.8655,.0060,.0077,.0956,.0856,.0794,-.0898,.0294,.0741,.0202,35.0,2037,147
1710489646,89.90,2.60,341,9.50,.3536,.7011,9.8110,.0448,.0735,.0194,-.0631,.0287,-.0175,.0179,.0545,.0251,38.7,1487,282
1710489647,15.80,67.00,337,9.50,.4410,.0234,9.8327,.0826,.0798,.0557,.0211,.0817,.0807,.0742,.0011,.0724,8.2,2066,217
1710489648,44.40,7.80,368,7.20,.9946,.8659,9.8355,.0623,.0317,.0498,-.0996,.0093,.0712,.0424,.0900,.0382,14.3,2010,257
