ts,bim_x,bim_y,bim_z,speed,imu_ax_mean,imu_ay_mean,imu_az_mean,imu_ax_std,imu_ay_std,imu_az_std,imu_gx_mean,imu_gy_mean,imu_gz_mean,imu_gx_std,imu_gy_std,imu_gz_std,fuel_lph,rpm,hyd_bar
1710489601,60.00,36.90,313,9.90,-.1397,-.3484,9.8246,.0477,.0808,.0941,.0367,-.0694,.0458,.0716,.0315,.0434,21.3,825,170
1710489602,64.80,52.90,339,3.80,-.8264,.3999,9.8713,.0411,.0582,.0046,.0997,-.0757,.0042,.0751,.0483,.0573,28.1,1158,292
1710489603,62.00,47.70,400,3.90,.3653,.2972,9.8646,.0526,.0255,.0172,.0054,-.0168,.0263,.0430,.0181,.0420,33.5,1048,134
1710489604,91.40,47.70,372,7.30,.5351,.5467,9.8447,.0652,.0882,.0050,-.0092,.0200,.0697,.0426,.0083,.0578,15.6,922,120
1710489605,80.20,54.70,356,0,.7638,-.8565,9.8121,.0850,.0629,.0453,-.0843,-.0654,.0490,.0652,.0307,.0945,18.4,887,213
1710489606,89.70,28.70,396,5.60,.3179,-.6220,9.8588,.0096,.0408,.0805,.0624,-.0906,.0837,.0027,.0039,.0359,8.6,2185,163
1710489607,84.30,17.30,390,8.50,.9508,-.6538,9.8764,.0427,.0831,.0933,.0623,-.0039,-.0143,.0309,.0326,.0538,37.8,1537,134
1710489608,81.90,62.20,375,1.50,-.5346,.8358,9.8507,.0485,.0265,.0442,-.0807,-.0972,-.0024,.0255,.0602,.0181,13.0,1100,222
1710489609,9.20,76.40,337,11.50,-.9181,-.7468,9.7882,.0511,.0581,.0258,-.0998,-.0276,-.0890,.0984,.0622,.0295,39.7,1486,125
1710489610,33.10,33.00,386,3.70,.3591,.5742,9.8521,.0356,.0105,.0918,-.0250,.0459,-.0261,.0299,.0845,.0340,29.3,1686,130
