ts,bim_x,bim_y,bim_z,speed,imu_ax_mean,imu_ay_mean,imu_az_mean,imu_ax_std,imu_ay_std,imu_az_std,imu_gx_mean,imu_gy_mean,imu_gz_mean,imu_gx_std,imu_gy_std,imu_gz_std,fuel_lph,rpm,hyd_bar
1710489601,22.70,64.40,292,5.10,-.9727,-.1666,9.8677,.0618,.0818,.0291,-.0760,.0149,.0489,.0416,.0313,.0511,18.9,1838,122
1710489602,15.60,19.20,389,9.00,.4622,-.0156,9.8112,.0745,.0291,.0076,-.0837,-.0597,-.0299,.0726,.0661,.0895,9.3,1720,242
1710489603,32.90,5.50,298,4.40,-.5101,.6995,9.8747,.0184,.0632,.0390,.0687,.0626,.0084,.0500,.0406,.0108,37.2,863,192
1710489604,51.70,13.20,290,4.90,.9140,.1271,9.8381,.0107,.0689,.0605,-.0668,-.0268,.0200,.0399,.0640,.0125,22.6,1842,256
1710489605,16.70,39.70,402,3.70,-.6687,-.3151,9.7996,.0921,.0278,.0508,-.0566,.0703,-.0352,.0308,.0842,.0225,5.5,1725,182
1710489606,49.60,71.40,308,7.00,.7565,-.8941,9.8188,.0536,.0409,.0174,.0678,-.0252,.0377,.0665,.0344,.0018,15.6,2153,223
1710489607,49.30,71.50,296,10.30,.9265,.2385,9.8773,.0758,.0982,.0146,-.0596,-.0247,.0310,.0050,.0091,.0016,23.0,1815,247
1710489608,14.80,23.90,355,4.20,.6789,-.3529,9.8140,.0960,.0795,.0718,-.0273,.0782,.0630,.0151,.0637,.0898,21.3,1889,209
1710489609,8.00,38.70,356,1.40,.2594,.2844,9.8624,.0156,.0422,.0513,.0206,-.0681,.0966,.0603,.0043,.0634,25.3,1226,274
1710489610,79.50,23.00,385,2.40,-.0230,-.7526,9.8714,.0837,.0655,.0540,.0660,-.0593,.0377,.0945,.0759,.0634,17.5,2133,256
1710489611,66.10,71.70,343,0,.3019,-.0693,9.8474,.0278,.0386,.0806,-.0808,-.0184,.0879,.0205,.0333,.0470,15.6,1023,191
1710489612,80.00,51.40,383,7.80,.5302,-.0693,9.8086,.0769,.0765,.0393,-.0130,.0213,.0129,.0844,.0635,.0655,39.0,1009,291
1710489613,27.50,45.10,345,2.20,.2372,-.6406,9.8722,.0219,.0152,.0617,-.0143,-.0561,.0797,.0862,.0114,.0409,35.6,1225,141
1710489614,63.30,44.10,346,6.50,.6777,-.7359,9.8405,.0977,.0116,.0326,.0503,-.0710,.0650,.0228,.0466,.0261,31.4,2054,136
1710489615,77.80,41.60,342,2.10,-.5388,-.3995,9.8498,.0714,.0079,.0973,.0288,-.0702,.0212,.0827,.0010,.0144,23.5,1427,163
1710489616,66.00,55.30,347,6.60,.8386,-.0891,9.7983,.0797,.0638,.0234,-.0093,.0175,-.0248,.0670,.0514,.0941,28.9,1674,294
