ts_utc,lat,lon,alt_m,speed_ms,hdop,num_sat,fix_quality
1710489600,34.26767826776940214239,108.94436611224707785271,315,11.40,0.2,14,4
1710489601,34.26560667134617145298,108.95124651020844141972,323,11.50,0.1,12,4
1710489602,34.26301748100222785119,108.95163714712973418378,307,7.60,0.8,11,4
1710489603,34.26372490005188146610,108.95284049195837275307,308,1.30,0.3,10,4
1710489604,34.27110122379222998748,108.95113572801904354991,309,9.60,0.9,12,4
1710489605,34.26704378795739616077,108.94600465102084414197,323,7.60,0.1,14,4
1710489606,34.26724856715598010193,108.94614991912594988860,338,4.90,0.2,12,4
1710489607,34.26453821832941679128,108.95038161564989165929,326,7.90,0.8,11,4
1710489608,34.26816961577196569719,108.95125139316995757927,309,3.30,0.5,13,4
1710489609,34.26582548905911435285,108.94667727896969512009,323,11.40,0.1,10,4
1710489610,34.27084425794244209112,108.94565063631092257454,312,6.30,0.2,10,4
1710489611,34.26296682027649769585,108.94905406048768578142,311,10.70,0.3,14,4
1710489612,34.26801152989288003173,108.94700779442732016968,332,9.20,0.9,12,4
1710489613,34.26223864864040040284,108.95215596179082613605,336,3.50,0.3,13,4
1710489614,34.26150315256202887050,108.94861520432142094180,331,3.70,0.5,9,4
1710489615,34.26424340952787865840,108.94885843684194463942,315,2.00,0.7,14,4
1710489616,34.26179735099337748344,108.94942089297158726767,330,7.60,0.2,14,4
1710489617,34.26221301309244056520,108.94980786767174291207,340,5.80,0.4,8,4
1710489618,34.26529660328989532151,108.95168506118961149937,340,8.20,0.1,9,4
1710489619,34.26269795220801416058,108.94360101321451460310,328,11.60,0.9,11,4
1710489620,34.26807958616901150547,108.94368463393047883541,320,6.80,0.2,10,4
1710489621,34.26229327677236243781,108.94761511276589251380,308,.40,0.5,11,4
1710489622,34.26249347819452497940,108.94896128421887874996,334,7.30,0.8,14,4
1710489623,34.27017315591906491286,108.94658602862636188848,315,3.80,0.5,9,4
1710489624,34.26515713370159001434,108.95138353831598864711,323,1.70,0.6,14,4
1710489625,34.26594878383739738151,108.95314201483199560533,317,.50,0.8,14,4
1710489626,34.26869667043061616870,108.94887461165196691793,320,10.50,0.4,11,4
1710489627,34.26263630481887264625,108.94396998199407940916,342,9.40,0.5,13,4
1710489628,34.26617736747337260048,108.94745000762962736899,343,1.20,0.1,11,4
1710489629,34.26761936704611346781,108.94593323770867030854,311,11.20,0.4,9,4
1710489630,34.26811651356547746208,108.95175037079989013336,309,8.40,0.8,14,4
1710489631,34.26549833063753166295,108.94793891415143284401,338,4.70,0.5,9,4
1710489632,34.26593932309945982238,108.94322197332682271797,343,1.60,0.9,13,4
1710489633,34.27134018372142704550,108.94643252052369762260,328,1.90,0.9,10,4
1710489634,34.26158402661214026306,108.94920238044373912778,329,.40,0.9,9,4
1710489635,34.26444361095004119998,108.95228047730948820459,331,3.70,0.1,9,4
1710489636,34.26506161076693014313,108.95068558000427259132,337,4.80,0.3,9,4
1710489637,34.26781285439619129001,108.95105882137516403698,322,5.20,0.5,14,4
1710489638,34.26789861140781884212,108.95106919766838587603,332,8.40,0.8,11,4
