ts_utc,lat,lon,alt_m,speed_ms,hdop,num_sat,fix_quality
1710489600,34.27036145512253181554,108.94528288827173680837,342,4.50,0.3,8,4
1710489601,34.26920327768791772209,108.94426173894466994232,307,11.10,0.9,11,4
1710489602,34.26154923551133762627,108.94498807947019867549,331,2.60,0.7,13,4
1710489603,34.26754612262337107455,108.94902750938444166386,344,5.60,0.3,11,4
1710489604,34.26638275704214606158,108.95123979613635670033,322,2.90,0.7,13,4
1710489605,34.26195696279793694875,108.95072220221564378795,324,2.20,0.4,9,4
1710489606,34.26962595904416028321,108.95122179021576586199,339,3.80,0.3,13,4
1710489607,34.26434320505386516922,108.94978192693868831446,313,.80,0.3,12,4
1710489608,34.26207629016998809778,108.95172931302835169530,305,5.90,0.8,14,4
1710489609,34.26832037720877712332,108.95015577867976928006,307,3.60,0.6,8,4
1710489610,34.26665193029572435682,108.95090561845759453108,333,8.60,0.7,12,4
1710489611,34.26785741142002624591,108.95251638538773766289,312,8.20,0.8,13,4
1710489612,34.26799657582323679311,108.95074417554246650593,335,11.40,0.1,14,4
1710489613,34.26932992950224311044,108.94860147099215674306,335,5.90,0.5,9,4
1710489614,34.26803502914517654957,108.94699253517258217108,332,6.30,0.6,8,4
1710489615,34.27033246253852961821,108.95236257209997863704,316,3.90,0.6,8,4
1710489616,34.26759403668324839014,108.95236348765526291695,338,9.30,0.9,13,4
1710489617,34.26615386822107608264,108.94731145359660634174,324,7.60,0.7,10,4
1710489618,34.26535764030884731589,108.94705448774681844538,309,8.60,0.1,14,4
1710489619,34.26550992767113254188,108.95114518875698110904,307,4.20,0.9,9,4
1710489620,34.26404961699270607623,108.94435359965819269386,322,2.20,0.8,11,4
1710489621,34.26709017609179967650,108.94586792809839167455,318,2.10,0.6,10,4
1710489622,34.26909493697927793206,108.94344231696523941770,335,10.50,0.9,12,4
1710489623,34.26830420239875484481,108.95279959715567491683,328,4.90,0.6,13,4
1710489624,34.26325247352519302957,108.94819679555650502029,322,5.40,0.4,9,4
1710489625,34.26230121158482619708,108.94566955778679769280,317,1.70,0.1,11,4
1710489626,34.26173722952970976897,108.94460751365703299050,341,1.10,0.4,14,4
1710489627,34.26336966460158085879,108.94948955961790826136,306,2.80,0.8,13,4
1710489628,34.26426355174413281655,108.94552154301583910641,342,10.80,0.3,9,4
1710489629,34.26518521073030793176,108.94484006469924008911,323,3.50,0.8,13,4
1710489630,34.26762119815668202764,108.95119401837214270455,314,10.40,0.8,9,4
1710489631,34.26217517014069032868,108.94628114871669667653,340,11.70,0.4,11,4
1710489632,34.27110336008789330729,108.94520292977690969573,328,8.00,0.4,10,4
1710489633,34.26180955839716788232,108.94431484115115817743,324,7.00,0.5,14,4
1710489634,34.26400475478377636036,108.94460263069551683095,307,3.50,0.9,13,4
1710489635,34.26744449598681600390,108.94937023224585711233,335,3.20,0.6,10,4
1710489636,34.26630981780449842829,108.94651400494399853511,341,8.90,0.9,11,4
1710489637,34.26356467787713248084,108.95225270546586504715,339,8.00,0.1,12,4
1710489638,34.26574919278542435987,108.95184192632831812494,325,4.10,0.6,11,4
1710489639,34.27128616595965453047,108.94671359599597155674,305,2.80,0.1,8,4
1710489640,34.26761692556535538804,108.94815986816003906369,332,4.80,0.5,12,4
1710489641,34.27038648030030213324,108.94456631366924039429,321,3.80,0.1,14,4
1710489642,34.26309011505478072450,108.95032363048188726462,329,2.40,0.3,13,4
1710489643,34.26380913113803521835,108.95265097201452681051,322,2.50,0.2,8,4
1710489644,34.26371696523941770683,108.94568573259681997131,319,3.60,0.6,14,4
1710489645,34.26168107547227393414,108.94826759849848933378,325,6.70,0.4,13,4
1710489646,34.26338919644764549699,108.95121751762443922238,307,3.90,0.5,14,4
1710489647,34.26861030304879909665,108.94485501876888332773,327,5.80,0.2,14,4
1710489648,34.26982829676198614459,108.95285941343424787133,331,3.30,0.7,9,4
1710489649,34.26827490462965788750,108.94566559038056581316,328,1.20,0.7,8,4
1710489650,34.26600371715445417645,108.94394098941007721182,324,7.30,0.1,13,4
1710489651,34.27090804162724692526,108.94800849635303811761,343,1.50,0.5,14,4
1710489652,34.26549344767601550340,108.95275839716788232062,338,6.60,0.9,12,4
1710489653,34.26857276528214362010,108.94864267097994933927,306,8.60,0.6,12,4
1710489654,34.26362296823023163548,108.94482663655507065034,320,5.50,0.7,11,4
1710489655,34.26909188512833033234,108.95226308175908688619,318,11.80,0.5,13,4
1710489656,34.26634186223944822534,108.95224110843226416821,308,.90,0.9,13,4
1710489657,34.27138382518997772148,108.95018843348490859706,343,11.10,0.2,11,4
1710489658,34.26678407544175542466,108.95014387646107364116,305,4.20,0.3,10,4
1710489659,34.26759434186834315012,108.94571228370006408886,343,3.40,0.6,12,4
1710489660,34.26468348643452253791,108.94352990508743552964,326,10.40,0.3,10,4
1710489661,34.27117294228949858088,108.94518919644764549699,340,8.20,0.9,8,4
1710489662,34.26440881984923856318,108.95288688009277626880,338,2.40,0.3,10,4
1710489663,34.26388908963286233100,108.94776495864741966002,316,8.00,0.8,12,4
1710489664,34.26394890591143528550,108.94682834559160130619,314,8.30,0.9,12,4
1710489665,34.26254597003082369457,108.94589783623767815179,337,.40,0.7,10,4
1710489666,34.26173295693838312936,108.94445308999908444471,322,7.50,0.6,8,4
1710489667,34.26626037781914731284,108.94969372844630268257,327,10.30,0.2,9,4
1710489668,34.26403893551438947721,108.94359674062318796349,331,3.20,0.2,10,4
1710489669,34.26151627552110354930,108.95224354991302224799,308,1.00,0.1,8,4
1710489670,34.26851233863338114566,108.94865457319864497817,306,11.00,0.9,9,4
1710489671,34.26180498062074648274,108.94959088106936857203,330,.80,0.3,11,4
1710489672,34.26440912503433332316,108.95111161839655751213,338,4.60,0.4,11,4
1710489673,34.26585631275368511001,108.95227834101382488479,323,11.80,0.6,9,4
1710489674,34.26779393292031617175,108.94504514908291879024,314,.80,0.1,14,4
1710489675,34.26491481673635059663,108.94774969939268166142,344,9.60,0.6,12,4
1710489676,34.26350852381969664601,108.94720189214758751182,329,11.80,0.6,10,4
