ts_utc,lat,lon,alt_m,speed_ms,hdop,num_sat,fix_quality
1710489600,34.26652985625782036805,108.95265188756981109042,318,7.60,0.6,8,4
1710489601,34.27057874691000091555,108.94353173619800408948,325,8.60,0.6,9,4
1710489602,34.26878090151676992095,108.94453091219824823755,344,1.50,0.3,14,4
1710489603,34.26994823450422681356,108.94378717612231818597,323,11.20,0.8,14,4
1710489604,34.26544065065462202826,108.95154711752677999206,328,.30,0.1,14,4
1710489605,34.26291982177190466017,108.94702122257148960844,329,1.10,0.9,9,4
1710489606,34.26199968871120334482,108.94523375347148045289,335,11.10,0.2,14,4
1710489607,34.26419274880214850306,108.95149096346934415723,320,6.30,0.1,8,4
1710489608,34.26635101779229102450,108.94345513473921933652,329,.30,0.5,11,4
1710489609,34.26342002014221625415,108.94518004089480269783,330,.10,0.3,11,4
1710489610,34.26604827417828913235,108.94515135349589526047,308,5.80,0.2,9,4
1710489611,34.26212420422986541337,108.95290274971770378734,321,11.90,0.5,10,4
1710489612,34.26927224951933347575,108.94444210333567308572,342,3.10,0.6,10,4
1710489613,34.26992229377117221594,108.94416041749320963164,332,3.20,0.2,11,4
1710489614,34.27136978667561876277,108.94750860316782128360,329,0,0.9,14,4
1710489615,34.27006451002533036286,108.94935771965697195348,316,8.70,0.7,8,4
1710489616,34.26949076204718161564,108.95152667012543107394,340,8.20,0.9,14,4
1710489617,34.27075636463515121921,108.94860849024933622241,325,6.60,0.6,8,4
1710489618,34.26214343089083529160,108.94449978331858272041,334,2.20,0.9,13,4
1710489619,34.26148514664143803216,108.95019636829737235633,337,.60,0.6,12,4
1710489620,34.26458918424024170659,108.94440303964354380932,315,8.90,0.6,11,4
1710489621,34.27116439710684530167,108.94466885586107974486,316,9.80,0.1,14,4
1710489622,34.27099868160039063692,108.94674045228431043427,332,8.10,0.6,12,4
1710489623,34.26352958159123508407,108.94975659657582323679,305,6.00,0.4,8,4
1710489624,34.26977794122135074922,108.94578125553147984252,335,7.50,0.7,8,4
