ts_utc,fuel_rate_lph,engine_rpm,hydraulic_bar,coolant_C,intake_C,battery_V
1710489600,33.1,1125,156,85,25,24.7
1710489601,28.9,1553,210,84,23,24.2
1710489602,7.0,1059,187,91,32,24.3
1710489603,34.2,2044,294,89,31,24.8
1710489604,28.6,1378,297,82,27,25.3
1710489605,9.2,1802,265,86,32,24.0
1710489606,22.8,1335,184,83,28,25.9
1710489607,38.0,2031,246,82,23,25.3
1710489608,35.1,1973,289,87,32,25.7
1710489609,23.8,1375,273,78,28,24.8
1710489610,28.0,1734,193,83,23,24.3
1710489611,13.4,807,192,90,22,24.8
1710489612,36.5,1706,293,83,39,25.0
1710489613,6.4,1961,245,86,32,25.1
1710489614,14.5,837,198,81,31,24.6
1710489615,12.2,1316,134,84,28,25.0
1710489616,6.7,1915,286,82,26,25.5
1710489617,20.7,1777,225,81,26,25.9
1710489618,39.4,1885,146,83,31,25.0
1710489619,18.5,1443,154,92,23,25.6
1710489620,32.1,2076,180,85,31,25.7
1710489621,19.5,1193,258,81,22,25.0
1710489622,38.5,1811,212,92,27,24.9
1710489623,23.0,1431,189,88,22,25.2
1710489624,16.2,839,150,83,34,24.1
1710489625,24.4,1886,132,80,35,25.4
1710489626,6.1,890,158,86,25,25.3
1710489627,5.7,1092,242,82,36,25.7
1710489628,25.9,1331,180,84,22,24.8
1710489629,21.3,1599,266,88,35,24.0
1710489630,5.1,2072,148,92,33,25.7
1710489631,15.3,2197,290,91,36,24.9
1710489632,10.1,1151,196,91,35,25.7
1710489633,21.0,2128,203,87,32,24.1
1710489634,12.4,813,261,89,25,25.0
1710489635,21.9,1981,223,81,35,25.4
1710489636,34.7,859,274,85,36,24.8
1710489637,28.6,1332,249,83,36,24.8
1710489638,5.8,2069,281,86,35,25.9
1710489639,35.6,2071,278,91,24,24.7
1710489640,19.2,970,250,86,39,24.3
1710489641,22.3,829,277,89,27,24.9
1710489642,28.9,1013,136,84,38,25.5
1710489643,21.0,1789,165,81,24,24.8
1710489644,7.7,1836,257,89,35,24.1
1710489645,32.9,1713,276,81,22,24.2
1710489646,27.6,1860,164,79,27,25.2
1710489647,10.9,854,236,89,35,25.0
1710489648,26.4,1551,121,83,26,24.8
1710489649,14.0,1440,174,80,32,25.4
1710489650,8.6,1459,180,86,36,24.9
1710489651,6.9,1356,192,83,22,24.9
1710489652,23.3,891,258,89,24,25.4
1710489653,9.6,1872,238,90,26,25.0
1710489654,27.8,1392,123,78,23,24.7
1710489655,9.4,1240,182,88,25,24.2
1710489656,8.0,827,275,83,32,25.2
1710489657,15.8,1192,155,88,29,24.2
1710489658,30.2,1155,230,90,37,25.7
1710489659,14.4,1102,259,86,28,25.5
