ts_utc,fuel_rate_lph,engine_rpm,hydraulic_bar,coolant_C,intake_C,battery_V
1710489600,14.4,911,197,82,25,25.4
1710489601,23.8,1752,160,83,24,25.5
1710489602,7.1,1259,136,87,39,25.5
1710489603,31.3,931,195,87,37,25.0
1710489604,29.9,1429,183,83,25,25.2
1710489605,14.5,1840,167,85,29,24.8
1710489606,10.9,1447,284,92,30,24.6
1710489607,35.7,914,156,91,38,24.8
1710489608,8.0,1287,210,78,31,25.4
1710489609,11.6,1695,242,83,24,24.5
1710489610,7.8,1578,127,91,33,25.0
1710489611,20.6,895,127,80,33,24.2
1710489612,11.0,835,295,83,23,25.3
1710489613,28.5,894,254,90,29,25.3
1710489614,37.5,1656,274,78,33,24.7
1710489615,20.7,920,207,92,24,24.5
1710489616,22.5,2021,255,87,28,24.0
1710489617,36.8,1410,182,79,24,25.2
1710489618,38.9,1267,198,84,29,24.3
1710489619,26.4,1047,191,91,28,25.7
1710489620,28.3,1005,237,85,22,24.0
1710489621,18.5,918,293,91,30,25.7
1710489622,8.0,1085,257,83,23,24.3
1710489623,29.2,1253,180,78,29,24.0
1710489624,33.7,1126,229,89,30,25.7
1710489625,35.3,1631,222,89,23,24.4
1710489626,12.3,1128,204,90,36,25.8
1710489627,33.0,1715,134,84,24,25.3
1710489628,34.6,1573,259,90,37,24.0
1710489629,36.9,1327,139,79,27,25.4
1710489630,36.3,1515,295,88,24,24.1
1710489631,17.8,1870,244,87,32,25.0
1710489632,16.7,1527,237,87,28,25.4
1710489633,6.5,2039,165,79,34,25.7
1710489634,10.7,1291,235,89,37,24.3
1710489635,19.7,1365,199,83,31,25.5
1710489636,37.7,855,160,91,28,25.1
1710489637,15.6,2143,128,79,27,25.3
1710489638,24.4,1584,234,90,30,24.6
1710489639,20.2,1628,234,90,33,25.1
1710489640,33.1,2066,239,87,25,24.0
1710489641,8.2,2061,126,84,38,24.4
1710489642,30.9,1222,268,85,29,24.1
1710489643,39.4,2124,189,83,35,24.5
1710489644,34.9,1833,213,83,29,24.8
1710489645,13.0,1441,134,86,35,25.5
1710489646,33.3,1769,173,81,31,24.7
1710489647,19.9,1673,141,91,25,24.6
1710489648,21.0,1253,218,86,32,24.7
1710489649,18.2,2117,287,83,30,25.8
1710489650,29.2,1231,143,79,35,25.4
1710489651,30.3,872,286,87,23,24.4
1710489652,33.1,2002,286,88,39,25.5
1710489653,11.2,908,210,81,37,25.8
1710489654,31.9,828,120,90,26,25.3
1710489655,14.2,1540,276,91,22,25.3
1710489656,11.2,1866,167,88,25,25.4
1710489657,36.5,1479,130,78,31,25.6
1710489658,24.3,1415,284,88,27,25.2
1710489659,15.7,1955,231,88,31,24.8
