ts_utc,fuel_rate_lph,engine_rpm,hydraulic_bar,coolant_C,intake_C,battery_V
1710489600,21.7,1593,195,80,36,24.6
1710489601,12.6,1083,276,79,33,24.1
1710489602,6.3,851,236,84,31,25.9
1710489603,25.6,1198,133,79,32,25.1
1710489604,13.7,1197,218,78,25,25.1
1710489605,27.5,1155,175,86,22,24.7
1710489606,32.8,1240,166,83,24,24.6
1710489607,15.5,1173,137,79,37,25.9
1710489608,39.8,952,281,90,38,25.7
1710489609,32.9,820,265,87,22,24.6
1710489610,9.6,1147,198,84,23,25.3
1710489611,21.3,2192,187,82,29,24.3
1710489612,13.7,1773,147,84,33,24.6
1710489613,37.4,1518,198,90,29,24.4
1710489614,29.4,2114,169,88,37,25.9
1710489615,20.7,1333,246,86,31,25.0
1710489616,10.1,942,241,89,27,25.8
1710489617,27.6,1828,167,85,36,24.5
1710489618,37.9,1496,167,81,24,24.5
1710489619,16.1,1344,202,78,27,25.1
1710489620,27.5,1750,161,90,33,25.4
1710489621,27.6,1319,159,85,33,25.2
1710489622,39.7,1172,242,87,31,25.6
1710489623,26.0,972,227,91,31,24.6
1710489624,5.2,1886,180,78,36,25.5
1710489625,28.2,1451,174,86,35,24.4
1710489626,35.9,1793,156,82,28,24.3
1710489627,9.8,859,181,84,35,25.4
1710489628,19.9,1075,148,82,30,24.7
1710489629,8.0,1115,288,88,33,24.7
1710489630,17.6,1144,265,89,35,25.0
1710489631,19.4,1470,280,89,31,25.2
1710489632,15.8,2047,153,80,32,24.4
1710489633,35.5,1888,184,87,27,24.5
1710489634,26.0,1393,190,85,24,24.8
1710489635,21.1,940,178,90,23,25.9
1710489636,28.2,1663,127,82,28,24.0
1710489637,33.1,887,284,80,25,24.6
1710489638,6.4,1535,230,91,30,24.2
1710489639,37.8,1826,201,78,33,25.1
1710489640,13.3,2045,279,86,27,25.0
1710489641,17.2,1245,148,92,33,25.5
1710489642,27.8,899,193,92,29,24.3
1710489643,11.2,1467,128,87,26,24.5
1710489644,16.3,1879,124,89,28,24.5
1710489645,38.0,2184,147,92,38,25.7
1710489646,11.5,898,207,92,37,24.3
1710489647,24.4,2173,292,79,24,24.7
1710489648,11.8,1405,253,78,34,24.6
1710489649,10.0,1874,254,91,33,25.7
1710489650,9.9,1179,158,78,26,25.2
1710489651,5.3,1651,235,85,31,24.3
1710489652,35.8,1352,178,85,31,25.9
1710489653,35.3,2176,235,89,28,24.5
1710489654,9.8,1178,205,85,27,24.4
1710489655,18.7,1762,299,88,28,25.1
1710489656,38.2,1670,258,86,22,24.0
1710489657,27.9,1631,223,84,29,25.9
1710489658,38.2,1072,233,82,33,25.9
1710489659,31.4,1818,169,80,28,25.7
